Gaia24bst
#Date,JD(TCB),averagemag
2023-08-29 07:11:34,2460185.79970,null
2023-10-03 06:37:25,2460220.77598,untrusted
2023-10-30 10:37:38,2460247.94280,14.37
2023-10-30 12:24:12,2460248.01681,untrusted
2023-12-04 11:41:09,2460282.98691,14.34
2023-12-29 15:43:26,2460308.15516,14.31
2024-02-02 10:45:46,2460342.94845,14.38
2024-02-28 14:47:05,2460369.11603,14.53
2024-04-03 03:57:17,2460403.66478,14.52
2024-05-02 13:56:03,2460433.08059,14.45
2024-05-02 15:42:37,2460433.15459,14.47
2024-06-06 03:14:56,2460467.63537,14.69
2024-07-07 13:12:11,2460499.05013,16.30
2024-07-07 14:58:46,2460499.12414,16.30

