JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2460670.32413,10.2495,0.0685,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6003|CMAGINS=18.2168|CREFMAG=9.8660|CREFERR=0.0078|KMAGINS=19.9622|KREFMAG=11.5530|KREFERR=0.0140|COMMENT = AVERAGED,0,1.199,Z,18.2168,19.9622,,NSV 14311,AAVSO,STD,,,,
2460670.32454,10.2920,0.0723,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.0253|CMAGINS=18.9322|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6325|KREFMAG=12.9430|KREFERR=0.0196|COMMENT = AVERAGED,0,1.200,Z,18.9322,20.6325,,NSV 14311,AAVSO,STD,,,,
2460670.32495,10.2154,0.1060,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.5827|CMAGINS=18.2333|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=20.0051|KREFMAG=11.5530|KREFERR=0.0142|COMMENT = AVERAGED,0,1.201,Z,18.2333,20.0051,,NSV 14311,AAVSO,STD,,,,
2460670.32536,10.0261,0.0996,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8010|CMAGINS=18.9740|CREFMAG=11.1990|CREFERR=0.0112|KMAGINS=20.6563|KREFMAG=12.9430|KREFERR=0.0201|COMMENT = AVERAGED,0,1.203,Z,18.9740,20.6563,,NSV 14311,AAVSO,STD,,,,
2460670.32576,10.2420,0.0924,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6280|CMAGINS=18.2521|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9989|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.204,Z,18.2521,19.9989,,NSV 14311,AAVSO,STD,,,,
2460670.32618,10.2269,0.0713,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9763|CMAGINS=18.9484|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6182|KREFMAG=12.9430|KREFERR=0.0194|COMMENT = AVERAGED,0,1.206,Z,18.9484,20.6182,,NSV 14311,AAVSO,STD,,,,
2460670.32659,10.2163,0.0940,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6221|CMAGINS=18.2718|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=20.0149|KREFMAG=11.5530|KREFERR=0.0143|COMMENT = AVERAGED,0,1.207,Z,18.2718,20.0149,,NSV 14311,AAVSO,STD,,,,
2460670.32700,10.2418,0.0719,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9736|CMAGINS=18.9308|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6397|KREFMAG=12.9430|KREFERR=0.0196|COMMENT = AVERAGED,0,1.209,Z,18.9308,20.6397,,NSV 14311,AAVSO,STD,,,,
2460670.32741,10.2583,0.0866,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6336|CMAGINS=18.2412|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9946|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.210,Z,18.2412,19.9946,,NSV 14311,AAVSO,STD,,,,
2460670.32782,10.0369,0.0646,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.7948|CMAGINS=18.9569|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6369|KREFMAG=12.9430|KREFERR=0.0197|COMMENT = AVERAGED,0,1.212,Z,18.9569,20.6369,,NSV 14311,AAVSO,STD,,,,
2460670.32823,10.3317,0.0958,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.7211|CMAGINS=18.2554|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9899|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.213,Z,18.2554,19.9899,,NSV 14311,AAVSO,STD,,,,
2460670.32864,10.1176,0.0593,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8470|CMAGINS=18.9284|CREFMAG=11.1990|CREFERR=0.0109|KMAGINS=20.6487|KREFMAG=12.9430|KREFERR=0.0197|COMMENT = AVERAGED,0,1.215,Z,18.9284,20.6487,,NSV 14311,AAVSO,STD,,,,
2460670.32905,10.3003,0.1103,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.7024|CMAGINS=18.2681|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=20.0100|KREFMAG=11.5530|KREFERR=0.0144|COMMENT = AVERAGED,0,1.216,Z,18.2681,20.0100,,NSV 14311,AAVSO,STD,,,,
2460670.32946,10.1648,0.0698,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9124|CMAGINS=18.9467|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6434|KREFMAG=12.9430|KREFERR=0.0196|COMMENT = AVERAGED,0,1.218,Z,18.9467,20.6434,,NSV 14311,AAVSO,STD,,,,
2460670.32986,10.1391,0.0884,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.5173|CMAGINS=18.2443|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9948|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.219,Z,18.2443,19.9948,,NSV 14311,AAVSO,STD,,,,
2460670.33028,10.2528,0.0590,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9972|CMAGINS=18.9433|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6544|KREFMAG=12.9430|KREFERR=0.0196|COMMENT = AVERAGED,0,1.221,Z,18.9433,20.6544,,NSV 14311,AAVSO,STD,,,,
2460670.33069,10.1593,0.0857,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.5473|CMAGINS=18.2540|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9843|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.222,Z,18.2540,19.9843,,NSV 14311,AAVSO,STD,,,,
2460670.33110,10.1919,0.0675,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9609|CMAGINS=18.9680|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6330|KREFMAG=12.9430|KREFERR=0.0195|COMMENT = AVERAGED,0,1.224,Z,18.9680,20.6330,,NSV 14311,AAVSO,STD,,,,
2460670.33151,10.1347,0.0677,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.5164|CMAGINS=18.2477|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9938|KREFMAG=11.5530|KREFERR=0.0142|COMMENT = AVERAGED,0,1.226,Z,18.2477,19.9938,,NSV 14311,AAVSO,STD,,,,
2460670.33192,10.0510,0.0539,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.7973|CMAGINS=18.9454|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6438|KREFMAG=12.9430|KREFERR=0.0196|COMMENT = AVERAGED,0,1.227,Z,18.9454,20.6438,,NSV 14311,AAVSO,STD,,,,
2460670.33233,10.2442,0.1154,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6348|CMAGINS=18.2566|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9650|KREFMAG=11.5530|KREFERR=0.0139|COMMENT = AVERAGED,0,1.229,Z,18.2566,19.9650,,NSV 14311,AAVSO,STD,,,,
2460670.33274,10.0914,0.0619,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8198|CMAGINS=18.9274|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6095|KREFMAG=12.9430|KREFERR=0.0193|COMMENT = AVERAGED,0,1.230,Z,18.9274,20.6095,,NSV 14311,AAVSO,STD,,,,
2460670.33315,10.2594,0.0678,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6535|CMAGINS=18.2601|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9915|KREFMAG=11.5530|KREFERR=0.0142|COMMENT = AVERAGED,0,1.232,Z,18.2601,19.9915,,NSV 14311,AAVSO,STD,,,,
2460670.33357,10.0655,0.0890,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8440|CMAGINS=18.9776|CREFMAG=11.1990|CREFERR=0.0112|KMAGINS=20.6104|KREFMAG=12.9430|KREFERR=0.0194|COMMENT = AVERAGED,0,1.233,Z,18.9776,20.6104,,NSV 14311,AAVSO,STD,,,,
2460670.33399,10.3165,0.0843,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.7003|CMAGINS=18.2497|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9951|KREFMAG=11.5530|KREFERR=0.0142|COMMENT = AVERAGED,0,1.235,Z,18.2497,19.9951,,NSV 14311,AAVSO,STD,,,,
2460670.33440,10.0664,0.0745,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8250|CMAGINS=18.9575|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6713|KREFMAG=12.9430|KREFERR=0.0201|COMMENT = AVERAGED,0,1.237,Z,18.9575,20.6713,,NSV 14311,AAVSO,STD,,,,
2460670.33481,10.3304,0.1082,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.7409|CMAGINS=18.2766|CREFMAG=9.8660|CREFERR=0.0081|KMAGINS=20.0009|KREFMAG=11.5530|KREFERR=0.0143|COMMENT = AVERAGED,0,1.238,Z,18.2766,20.0009,,NSV 14311,AAVSO,STD,,,,
2460670.33522,10.1858,0.0555,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9194|CMAGINS=18.9326|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6153|KREFMAG=12.9430|KREFERR=0.0195|COMMENT = AVERAGED,0,1.240,Z,18.9326,20.6153,,NSV 14311,AAVSO,STD,,,,
2460670.33564,10.3296,0.0867,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.7064|CMAGINS=18.2428|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9868|KREFMAG=11.5530|KREFERR=0.0142|COMMENT = AVERAGED,0,1.242,Z,18.2428,19.9868,,NSV 14311,AAVSO,STD,,,,
2460670.33645,10.2150,0.0802,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6109|CMAGINS=18.2618|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9782|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.245,Z,18.2618,19.9782,,NSV 14311,AAVSO,STD,,,,
2460670.33687,10.1518,0.0580,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9019|CMAGINS=18.9492|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6199|KREFMAG=12.9430|KREFERR=0.0193|COMMENT = AVERAGED,0,1.247,Z,18.9492,20.6199,,NSV 14311,AAVSO,STD,,,,
2460670.33728,10.2567,0.0797,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6274|CMAGINS=18.2367|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9880|KREFMAG=11.5530|KREFERR=0.0142|COMMENT = AVERAGED,0,1.248,Z,18.2367,19.9880,,NSV 14311,AAVSO,STD,,,,
2460670.33769,10.1130,0.0518,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8838|CMAGINS=18.9698|CREFMAG=11.1990|CREFERR=0.0112|KMAGINS=20.6498|KREFMAG=12.9430|KREFERR=0.0197|COMMENT = AVERAGED,0,1.250,Z,18.9698,20.6498,,NSV 14311,AAVSO,STD,,,,
2460670.33809,10.2951,0.0940,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6708|CMAGINS=18.2418|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9872|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.252,Z,18.2418,19.9872,,NSV 14311,AAVSO,STD,,,,
2460670.33894,10.3274,0.0759,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.7036|CMAGINS=18.2422|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9730|KREFMAG=11.5530|KREFERR=0.0140|COMMENT = AVERAGED,0,1.255,Z,18.2422,19.9730,,NSV 14311,AAVSO,STD,,,,
2460670.33935,10.1643,0.0736,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9319|CMAGINS=18.9666|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6690|KREFMAG=12.9430|KREFERR=0.0198|COMMENT = AVERAGED,0,1.257,Z,18.9666,20.6690,,NSV 14311,AAVSO,STD,,,,
2460670.33976,10.2661,0.0984,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6509|CMAGINS=18.2508|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9900|KREFMAG=11.5530|KREFERR=0.0142|COMMENT = AVERAGED,0,1.259,Z,18.2508,19.9900,,NSV 14311,AAVSO,STD,,,,
2460670.34017,10.1244,0.0643,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9007|CMAGINS=18.9753|CREFMAG=11.1990|CREFERR=0.0112|KMAGINS=20.6398|KREFMAG=12.9430|KREFERR=0.0195|COMMENT = AVERAGED,0,1.260,Z,18.9753,20.6398,,NSV 14311,AAVSO,STD,,,,
2460670.34060,10.2685,0.0899,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6552|CMAGINS=18.2528|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=20.0020|KREFMAG=11.5530|KREFERR=0.0142|COMMENT = AVERAGED,0,1.262,Z,18.2528,20.0020,,NSV 14311,AAVSO,STD,,,,
2460670.34101,10.1534,0.0689,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9148|CMAGINS=18.9604|CREFMAG=11.1990|CREFERR=0.0112|KMAGINS=20.6638|KREFMAG=12.9430|KREFERR=0.0198|COMMENT = AVERAGED,0,1.264,Z,18.9604,20.6638,,NSV 14311,AAVSO,STD,,,,
2460670.34142,10.3062,0.0930,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6800|CMAGINS=18.2398|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=19.9726|KREFMAG=11.5530|KREFERR=0.0140|COMMENT = AVERAGED,0,1.266,Z,18.2398,19.9726,,NSV 14311,AAVSO,STD,,,,
2460670.34183,10.1495,0.0596,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8901|CMAGINS=18.9396|CREFMAG=11.1990|CREFERR=0.0110|KMAGINS=20.6721|KREFMAG=12.9430|KREFERR=0.0199|COMMENT = AVERAGED,0,1.267,Z,18.9396,20.6721,,NSV 14311,AAVSO,STD,,,,
2460670.34224,10.2108,0.0744,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6114|CMAGINS=18.2666|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9924|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.269,Z,18.2666,19.9924,,NSV 14311,AAVSO,STD,,,,
2460670.34265,9.9342,0.0710,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.7059|CMAGINS=18.9707|CREFMAG=11.1990|CREFERR=0.0112|KMAGINS=20.6620|KREFMAG=12.9430|KREFERR=0.0200|COMMENT = AVERAGED,0,1.271,Z,18.9707,20.6620,,NSV 14311,AAVSO,STD,,,,
2460670.34306,10.2649,0.0692,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6372|CMAGINS=18.2383|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=20.0265|KREFMAG=11.5530|KREFERR=0.0144|COMMENT = AVERAGED,0,1.273,Z,18.2383,20.0265,,NSV 14311,AAVSO,STD,,,,
2460670.34347,10.2194,0.0677,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9607|CMAGINS=18.9402|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6739|KREFMAG=12.9430|KREFERR=0.0198|COMMENT = AVERAGED,0,1.275,Z,18.9402,20.6739,,NSV 14311,AAVSO,STD,,,,
2460670.34388,10.3608,0.0823,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.7307|CMAGINS=18.2359|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=20.0182|KREFMAG=11.5530|KREFERR=0.0143|COMMENT = AVERAGED,0,1.276,Z,18.2359,20.0182,,NSV 14311,AAVSO,STD,,,,
2460670.34429,10.1864,0.0868,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9414|CMAGINS=18.9540|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6591|KREFMAG=12.9430|KREFERR=0.0198|COMMENT = AVERAGED,0,1.278,Z,18.9540,20.6591,,NSV 14311,AAVSO,STD,,,,
2460670.34470,10.2989,0.0706,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6851|CMAGINS=18.2522|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9653|KREFMAG=11.5530|KREFERR=0.0139|COMMENT = AVERAGED,0,1.280,Z,18.2522,19.9653,,NSV 14311,AAVSO,STD,,,,
2460670.34512,9.9200,0.0671,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.6753|CMAGINS=18.9543|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6584|KREFMAG=12.9430|KREFERR=0.0197|COMMENT = AVERAGED,0,1.282,Z,18.9543,20.6584,,NSV 14311,AAVSO,STD,,,,
2460670.34553,10.4161,0.1151,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.8186|CMAGINS=18.2685|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=20.0172|KREFMAG=11.5530|KREFERR=0.0143|COMMENT = AVERAGED,0,1.284,Z,18.2685,20.0172,,NSV 14311,AAVSO,STD,,,,
2460670.34594,10.0524,0.0749,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8203|CMAGINS=18.9668|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6463|KREFMAG=12.9430|KREFERR=0.0198|COMMENT = AVERAGED,0,1.286,Z,18.9668,20.6463,,NSV 14311,AAVSO,STD,,,,
2460670.34635,10.3525,0.0927,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.7762|CMAGINS=18.2897|CREFMAG=9.8660|CREFERR=0.0081|KMAGINS=20.0376|KREFMAG=11.5530|KREFERR=0.0144|COMMENT = AVERAGED,0,1.287,Z,18.2897,20.0376,,NSV 14311,AAVSO,STD,,,,
2460670.34676,10.0724,0.0937,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8351|CMAGINS=18.9617|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6835|KREFMAG=12.9430|KREFERR=0.0199|COMMENT = AVERAGED,0,1.289,Z,18.9617,20.6835,,NSV 14311,AAVSO,STD,,,,
2460670.34718,10.2874,0.0960,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6761|CMAGINS=18.2546|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=20.0123|KREFMAG=11.5530|KREFERR=0.0143|COMMENT = AVERAGED,0,1.291,Z,18.2546,20.0123,,NSV 14311,AAVSO,STD,,,,
2460670.34759,10.1807,0.0954,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9766|CMAGINS=18.9949|CREFMAG=11.1990|CREFERR=0.0113|KMAGINS=20.7304|KREFMAG=12.9430|KREFERR=0.0205|COMMENT = AVERAGED,0,1.293,Z,18.9949,20.7304,,NSV 14311,AAVSO,STD,,,,
2460670.34799,10.1384,0.0975,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.5395|CMAGINS=18.2671|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=20.0673|KREFMAG=11.5530|KREFERR=0.0146|COMMENT = AVERAGED,0,1.295,Z,18.2671,20.0673,,NSV 14311,AAVSO,STD,,,,
2460670.34840,10.2194,0.0671,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9918|CMAGINS=18.9715|CREFMAG=11.1990|CREFERR=0.0112|KMAGINS=20.6592|KREFMAG=12.9430|KREFERR=0.0200|COMMENT = AVERAGED,0,1.297,Z,18.9715,20.6592,,NSV 14311,AAVSO,STD,,,,
2460670.34881,10.4147,0.1079,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.8027|CMAGINS=18.2540|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=20.0309|KREFMAG=11.5530|KREFERR=0.0144|COMMENT = AVERAGED,0,1.299,Z,18.2540,20.0309,,NSV 14311,AAVSO,STD,,,,
2460670.34922,10.1529,0.0552,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9294|CMAGINS=18.9755|CREFMAG=11.1990|CREFERR=0.0112|KMAGINS=20.6230|KREFMAG=12.9430|KREFERR=0.0195|COMMENT = AVERAGED,0,1.301,Z,18.9755,20.6230,,NSV 14311,AAVSO,STD,,,,
2460670.34963,10.4194,0.1436,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.8152|CMAGINS=18.2618|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9807|KREFMAG=11.5530|KREFERR=0.0141|COMMENT = AVERAGED,0,1.303,Z,18.2618,19.9807,,NSV 14311,AAVSO,STD,,,,
2460670.35005,10.0451,0.0483,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8019|CMAGINS=18.9558|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6778|KREFMAG=12.9430|KREFERR=0.0200|COMMENT = AVERAGED,0,1.305,Z,18.9558,20.6778,,NSV 14311,AAVSO,STD,,,,
2460670.35046,10.1464,0.0717,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.5087|CMAGINS=18.2283|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=20.0091|KREFMAG=11.5530|KREFERR=0.0142|COMMENT = AVERAGED,0,1.307,Z,18.2283,20.0091,,NSV 14311,AAVSO,STD,,,,
2460670.35087,9.9457,0.0751,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.7367|CMAGINS=18.9900|CREFMAG=11.1990|CREFERR=0.0112|KMAGINS=20.6506|KREFMAG=12.9430|KREFERR=0.0198|COMMENT = AVERAGED,0,1.309,Z,18.9900,20.6506,,NSV 14311,AAVSO,STD,,,,
2460670.35128,10.4317,0.1060,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.8097|CMAGINS=18.2439|CREFMAG=9.8660|CREFERR=0.0079|KMAGINS=20.0189|KREFMAG=11.5530|KREFERR=0.0144|COMMENT = AVERAGED,0,1.311,Z,18.2439,20.0189,,NSV 14311,AAVSO,STD,,,,
2460670.35169,10.2106,0.0599,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9773|CMAGINS=18.9657|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6692|KREFMAG=12.9430|KREFERR=0.0199|COMMENT = AVERAGED,0,1.312,Z,18.9657,20.6692,,NSV 14311,AAVSO,STD,,,,
2460670.35210,10.2709,0.0746,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6528|CMAGINS=18.2479|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9832|KREFMAG=11.5530|KREFERR=0.0140|COMMENT = AVERAGED,0,1.314,Z,18.2479,19.9832,,NSV 14311,AAVSO,STD,,,,
2460670.35251,10.2876,0.0793,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.0669|CMAGINS=18.9783|CREFMAG=11.1990|CREFERR=0.0112|KMAGINS=20.6548|KREFMAG=12.9430|KREFERR=0.0198|COMMENT = AVERAGED,0,1.316,Z,18.9783,20.6548,,NSV 14311,AAVSO,STD,,,,
2460670.35292,10.2158,0.0632,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6197|CMAGINS=18.2699|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=20.0290|KREFMAG=11.5530|KREFERR=0.0143|COMMENT = AVERAGED,0,1.318,Z,18.2699,20.0290,,NSV 14311,AAVSO,STD,,,,
2460670.35332,10.2194,0.0750,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9834|CMAGINS=18.9631|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6801|KREFMAG=12.9430|KREFERR=0.0200|COMMENT = AVERAGED,0,1.320,Z,18.9631,20.6801,,NSV 14311,AAVSO,STD,,,,
2460670.35374,10.1008,0.0676,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.4932|CMAGINS=18.2584|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=20.0037|KREFMAG=11.5530|KREFERR=0.0142|COMMENT = AVERAGED,0,1.323,Z,18.2584,20.0037,,NSV 14311,AAVSO,STD,,,,
2460670.35415,10.0519,0.0629,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.8229|CMAGINS=18.9699|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6839|KREFMAG=12.9430|KREFERR=0.0200|COMMENT = AVERAGED,0,1.325,Z,18.9699,20.6839,,NSV 14311,AAVSO,STD,,,,
2460670.35456,10.1078,0.0610,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.4996|CMAGINS=18.2578|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=20.0367|KREFMAG=11.5530|KREFERR=0.0144|COMMENT = AVERAGED,0,1.327,Z,18.2578,20.0367,,NSV 14311,AAVSO,STD,,,,
2460670.35497,10.2563,0.0697,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.0197|CMAGINS=18.9624|CREFMAG=11.1990|CREFERR=0.0112|KMAGINS=20.6642|KREFMAG=12.9430|KREFERR=0.0199|COMMENT = AVERAGED,0,1.329,Z,18.9624,20.6642,,NSV 14311,AAVSO,STD,,,,
2460670.35538,10.2115,0.0686,,V,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=18.6065|CMAGINS=18.2610|CREFMAG=9.8660|CREFERR=0.0080|KMAGINS=19.9959|KREFMAG=11.5530|KREFERR=0.0142|COMMENT = AVERAGED,0,1.331,Z,18.2610,19.9959,,NSV 14311,AAVSO,STD,,,,
2460670.35579,10.2286,0.0676,,B,CDZ,,000-BCQ-718,000-BPL-015,,|VMAGINS=17.9894|CMAGINS=18.9598|CREFMAG=11.1990|CREFERR=0.0111|KMAGINS=20.6829|KREFMAG=12.9430|KREFERR=0.0200|COMMENT = AVERAGED,0,1.333,Z,18.9598,20.6829,,NSV 14311,AAVSO,STD,,,,
