JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2440628.00000,2.784,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D1/E/1/75|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2441615.00000,3.060,0.01,,R,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D3/A/3/8|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2441615.00000,2.664,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D3/A/3/8|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2441674.00000,3.170,0.01,,R,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D3/A/3/8|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2441674.00000,2.764,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D3/A/3/8|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2441676.00000,3.140,0.01,,R,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D1/E/1/75|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2441676.00000,2.734,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D1/E/1/75|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2441681.00000,3.110,0.01,,R,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D3/A/3/8|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2441681.00000,2.724,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D3/A/3/8|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2441929.00000,3.160,0.01,,R,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D3/A/3/8|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2441929.00000,2.743,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D3/A/3/8|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2441970.00000,3.150,0.01,,R,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D3/A/3/8|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2441970.00000,2.738,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D3/A/3/8|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2441977.00000,3.010,0.01,,R,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D3/A/3/8|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2441977.00000,2.640,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D3/A/3/8|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2441978.00000,3.000,0.01,,R,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D3/A/3/8|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2441978.00000,2.599,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D3/A/3/8|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2442000.00000,3.070,0.01,,R,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D3/A/3/8|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2442000.00000,2.653,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=D3/A/3/8|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2442271.00000,3.110,0.01,,R,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=X/A/2/369|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2442271.00000,2.719,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=X/A/2/369|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2442412.00000,3.150,0.01,,R,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=X/A/2/369|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2442412.00000,2.744,0.01,,I,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=X/A/2/369|DATAFMT=RI|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2443141.00000,3.500,0.01,,V,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=B6//34/16|DATAFMT=UVBY?|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2443142.00000,3.450,0.01,,V,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=B6//34/16|DATAFMT=UVBY?|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2444881.50000,3.490,0.01,,V,EOJ,,,,,|SHEETVER=4.2.1|EGGENCARD=B6//34/16|DATAFMT=UVBY?|LOGGER=CJH,1,,Z,,,,NSV 15373,AAVSO,STD,,,,
2452657.215,3.0,,,V,RMQ,,,,,,,,Z,,,,NSV 15373,,STD,,,,
2458451.61458,3.8,,,Vis.,DCMA,,3.5,,X23484Q,,,,Z,,,,NSV 15373,AAVSO,STD,,,,
