JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2445165.1229,4.775,0.02,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1375,4.761,0.023,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1375,4.761,0.02,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1389,4.759,0.023,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1389,4.759,0.02,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1403,4.758,0.023,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1403,4.758,0.02,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1417,4.756,0.023,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1417,4.756,0.02,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1431,4.757,0.023,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1431,4.757,0.02,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1444,4.758,0.023,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1444,4.758,0.02,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1458,4.755,0.023,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1458,4.755,0.02,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1472,4.753,0.023,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1472,4.753,0.02,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1563,4.738,0.023,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1563,4.738,0.02,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1576,4.735,0.023,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1576,4.735,0.02,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1590,4.731,0.023,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1590,4.731,0.02,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1708,4.675,0.023,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1708,4.675,0.02,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1722,4.675,0.023,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1722,4.675,0.02,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1736,4.675,0.023,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1736,4.675,0.02,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1750,4.671,0.023,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445165.1750,4.671,0.02,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0104,4.747,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0104,4.747,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0118,4.744,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0118,4.744,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0132,4.740,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0132,4.740,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0146,4.737,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0146,4.737,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0160,4.734,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0160,4.734,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0174,4.731,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0174,4.731,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0188,4.728,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0188,4.728,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0215,4.725,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0215,4.725,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0229,4.721,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0229,4.721,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0243,4.720,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0243,4.720,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0257,4.718,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0257,4.718,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0271,4.715,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0271,4.715,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0361,4.730,0.014,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
2445168.0361,4.730,0.01,,V,MYV,,EPS SCT,,CNAME FROM GCPD,REF.: T T MOON PULSATING STARS WITH ULTRA SHORT PERIODS (PHD THESIS MONASH UNIVERSITY 1984) | MAGNITUDE OF VARIABLE WAS CALCULATED RELATIVE TO THIS VALUE OF CNAME WITH A CORRECTION APPLIED FOR COLOR INDEX DIFFERENCE BETWEEN VARIABLE AND COMPARISON STARS.,1,,Z,4.882,,,DEL SCT,AAVSO,STD,,,,
