JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2412749.5,3.4,,,Vis.,PJM,,,,,JD corrected from 2414940.500000; not rec.,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
2412764.5,3.3,,,Vis.,PJM,,,,,JD corrected from 2414955.500000; not rec.,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
2412765.5,3.3,,,Vis.,PJM,,,,,JD corrected from 2414956.500000; not rec.,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
2412769.5,3.3,,,Vis.,PJM,,,,,JD corrected from 2414960.500000; not rec.,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
2412770.5,3.4,,,Vis.,PJM,,,,,JD corrected from 2414961.500000; not rec.,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
2412777.5,3.3,,,Vis.,PJM,,,,,JD corrected from 2414968.500000; not rec.,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
2412788.0,3.3,,,Vis.,PJM,,,,,,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
2412791.5,3.3,,,Vis.,PJM,,,,,JD corrected from 2414982.500000; not rec.,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
2414168.429167,4.1,,,Vis.,BTAC,,,,,JD corrected from 2414898.429200; Naked eye,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
2414801.5,3.4,,,Vis.,MWK,,,,unknown,NE,,,Z,,,,ALPHA HER,BAA-VSS,STD,,,,BAAVSS
