jds,mags
2458962.999,13.9526351
2458980.942,13.7047842
2458992.932,13.58875123
2459009.876,13.57629506
2459014.867,13.64481989
2459017.861,13.85058751
2459089.013,12.70903426
2459093.004,12.74126369
2459094.997,12.65835929
2459102.976,12.75528009
2459104.977,12.63152879
2459107.968,12.55324777
2459109.961,12.58822981
2459111.955,12.5394413
2459113.951,12.41680171
2459115.943,12.51985531
2459119.931,12.41931325
2459121.924,12.56277602
2459123.918,12.47458531
2459125.911,12.51212305
2459127.909,12.41860302
2459129.902,12.50695837
2459133.89,12.53063135
2459135.889,12.48366841
2459137.882,12.55573895
2459139.878,12.51111539
2459141.87,12.68568427
2459143.868,12.4486794
2459145.864,12.52721101
2459149.85,12.55145924
2459151.842,12.52944504
2459153.835,12.5171797
2459155.831,12.59639685
2459156.85,12.57460472
2459157.824,12.51836984
2459158.822,12.54790583
2459163.929,12.60452088
2459165.878,12.70951274
2459169.813,12.59065302
2459171.798,12.61779274
2459173.781,12.70296718
2459174.78,12.63169946
2459176.772,12.62747729
2459178.767,12.64255634
2459180.762,12.6241648
2459181.758,12.64088887
2459183.756,12.70516955
2459184.763,12.61326261
2459185.748,12.63959824
2459186.746,12.55735919
2459187.743,12.52406902
2459188.74,12.63976867
2459189.739,12.54789514
2459190.734,12.60553232
2459195.722,12.52963683
2459197.718,12.53898951
2459199.735,12.48232198
2459200.707,12.56427549
2459202.702,12.4491948
2459203.717,12.51163251
2459204.695,12.45739403
2459205.693,12.46622188
2459206.691,12.41720303
2459210.68,12.44668228
2459211.683,12.45024727
2459215.666,12.47994362
2459216.719,12.44468295
2459217.711,12.48247911
2459218.689,12.54883692
2459219.674,12.54815777
2459220.686,12.47159219
2459221.684,12.42084883
2459222.693,12.51411629
2459223.69,12.53196578
2459224.68,12.51546558
2459225.688,12.59744962
2459226.683,12.54893618
2459227.683,12.49531053
2459228.67,12.52475672
2459229.666,12.54851054
2459231.651,12.54311574
2459232.671,12.58297169
2459233.668,12.63352713
2459243.705,12.7055448
2459250.667,12.87014282
2459251.668,12.85326655
2459252.643,12.89579502
2459253.647,13.02299719
2459254.653,12.94272772
2459255.646,12.83709416
2459256.658,13.00760951
2459257.643,13.01310125
2459260.634,13.0606636
2459263.653,13.24646246
2459264.65,13.23091663
2459265.647,13.26773546
2459266.652,13.48638235
2459267.639,13.23061607
2459268.641,13.62579281
2459269.637,13.44171023
2459270.647,13.66422442
2459271.635,13.34584403
2459272.63,13.6641132
2459273.631,13.56774834
2459274.651,13.57774123
2459460,14.34515014
2459463.99,14.24980392
2459465.981,14.16284814
2459469.983,14.01359034
2459473.96,14.28411226
2459478.982,14.10251629
2459479.953,14.37224865
2459489.916,14.25622726
2459496.93,14.19383616
2459498.962,14.05754597
2459502.02,14.07726454
2459504.878,13.81339939
2459507.902,14.05697092
2459508.888,13.75299091
2459509.895,13.6429591
2459514.847,13.71218661
2459515.881,13.47934994
2459516.912,13.5943793
2459517.909,13.51879835
2459518.889,13.3834674
2459520.867,13.40285898
2459521.927,13.3544557
2459523.858,13.51495707
2459524.887,13.33013321
2459525.883,13.19456505
2459526.85,13.25891764
2459527.879,13.41843383
2459529.808,13.07615054
2459530.874,13.10732591
2459531.87,13.07123864
2459532.836,12.96392714
2459533.848,13.06744733
2459534.799,13.0065739
2459535.794,12.89092858
2459536.822,12.98250932
2459537.847,12.86369966
2459538.86,12.99798172
2459540.79,12.94532612
2459542.771,12.83133188
2459543.839,12.78809012
2459544.889,12.77893646
2459545.832,12.67123742
2459546.83,12.65221868
