jds,mags,magerrs,flxs,fluxerr
2459203.717,12.51163251,0.06181277917,130.42084089013161,12453025.813414218
2459204.695,12.45739403,0.06554486853,137.10155734651818,12410293.500678554
2459205.693,12.46622188,0.05689707039,135.9913383873999,12509535.1524051
2459206.691,12.41720303,0.164304419,142.27178749593824,11331260.722442074
2459210.68,12.44668228,0.05870235109,138.46088016577843,12488752.518616764
2459211.683,12.45024727,0.05670318818,138.00699260454252,12511769.20601407
2459215.666,12.47994362,0.0557066364,134.28346899115897,12523258.50680768
2459216.719,12.44468295,0.06817336342,138.71608399002264,12380285.346897833
2459217.711,12.48247911,0.07230391664,133.9702463590634,12333275.513927514
2459218.689,12.54883692,0.07553742501,126.02747409500996,12296599.547909722
2459219.674,12.54815777,0.06769791865,126.10633149505449,12385707.871130524
2459220.686,12.47159219,0.0659157355,135.32035361423561,12406055.102860004
2459221.684,12.42084883,0.07188495007,141.79485342033607,12338035.627126556
2459222.693,12.51411629,0.08125157885,130.12282519263252,12232053.402945159
2459223.69,12.53196578,0.06773507975,128.00109591793176,12385283.957245966
2459224.68,12.51546558,0.1053600529,129.96121653025503,11963437.328411084
2459225.688,12.59744962,0.2432463228,120.5091857379031,10536623.717951713
2459226.683,12.54893618,0.07844370694,126.01595295827221,12263728.21422996
2459227.683,12.49531053,0.05825483421,132.3962816155449,12493901.172141712
2459228.67,12.52475672,0.06727690873,128.85382410307685,12390511.539818961
2459229.666,12.54851054,0.0795816764,126.0653645419223,12250881.228841629
2459231.651,12.54311574,0.06679633094,126.69331621172627,12395997.147335788
2459232.671,12.58297169,0.06244307694,122.12689736957599,12445798.609881708
2459233.668,12.63352713,0.07342918579,116.57063118120254,12320499.790793
2459243.705,12.7055448,0.0995678341,109.0892811613117,12027430.786094744
2459250.667,12.87014282,0.09268529579,93.74386861793549,12103915.459870405
2459251.668,12.85326655,0.07413928325,95.21237095811932,12312444.523551423
2459252.643,12.89579502,0.09526828664,91.55498419581288,12075154.198176175
2459253.647,13.02299719,0.1640007082,81.43312927819339,11334430.836527282
2459254.653,12.94272772,0.1035434698,87.68169001468596,11983470.526976518
2459255.646,12.83709416,0.106495555,96.64120490153388,11950932.074334243
2459256.658,13.00760951,0.1178206733,82.59546375777852,11826921.947847025
2459257.643,13.01310125,0.1123258999,82.17874412772514,11886928.215670908
2459260.634,13.0606636,0.1673228328,78.65648957110213,11299802.864472397
2459263.653,13.24646246,0.1756607255,66.28496266473896,11213358.569331355
2459264.65,13.23091663,0.1687764403,67.24087372379559,11284684.562595716
2459265.647,13.26773546,0.127275441,64.9988714166288,11724378.316655712
2459266.652,13.48638235,0.2187030087,53.14312147016426,10777518.984194476
2459267.639,13.23061607,0.1869644855,67.25949032190762,11097220.252581673
2459268.641,13.62579281,0.1502081803,46.73937234183663,11479334.943144992
2459269.637,13.44171023,0.1995648191,55.375276530974475,10969177.706981944
2459270.647,13.66422442,0.2326707519,45.113885400063936,10639756.75407518
2459271.635,13.34584403,0.1478682452,60.4870477510212,11504101.423447095
2459272.63,13.6641132,0.2343472457,45.118506986149264,10623340.49961315
2459273.631,13.56774834,0.3128193586,49.306101341133875,9882623.642704513
2459274.651,13.57774123,0.2541921484,48.854380211317455,10430932.634678133
2459460.0,14.34515014,0.323559963,24.09572200243592,9785342.13173387
2459463.99,14.24980392,0.3615776887,26.307430516005336,9448631.779350977
2459465.981,14.16284814,0.3546729032,28.501042384959757,9508912.229264893
2459469.983,14.01359034,0.2567675923,32.70121311829422,10406219.039527493
2459473.96,14.28411226,0.3391246292,25.48913491257251,9646064.205545885
2459478.982,14.10251629,0.2306598515,30.129608184540874,10659480.989698624
2459479.953,14.37224865,0.2556949759,23.50176828289923,10416504.591830758
2459489.916,14.25622726,0.2973049984,26.15225221662641,10024852.713835241
2459496.93,14.19383616,0.2887056098,27.69909220715143,10104568.120943781
2459498.962,14.05754597,0.2876058365,31.403757277581377,10114808.512931209
2459502.02,14.07726454,0.2774125745,30.8385666347486,10210216.949649576
2459504.878,13.81339939,0.1974994188,39.322420583970974,10990064.277359825
2459507.902,14.05697092,0.2557867763,31.420394388609267,10415623.900131024
2459508.888,13.75299091,0.1900543379,41.57226011731604,11065684.021016927
2459509.895,13.6429591,0.2108573283,46.00619967368676,10855680.895435032
2459514.847,13.71218661,0.1948493359,43.16436497045863,11016921.77193363
2459515.881,13.47934994,0.1967630265,53.48845135516065,10997520.732991278
2459516.912,13.5943793,0.175693657,48.11143160803079,11213018.461747251
2459517.909,13.51879835,0.1800883007,51.5799194993325,11167724.192754557
2459518.889,13.3834674,0.1330278559,58.42692633718983,11662424.833103653
2459520.867,13.40285898,0.1702409896,57.39266718518516,11269472.916159706
2459521.927,13.3544557,0.1214185248,60.00918381964837,11787795.423283892
2459523.858,13.51495707,0.2497472277,51.76272985247789,10473723.604094077
2459524.887,13.33013321,0.1491303332,61.36867067442431,11490736.526134571
2459525.883,13.19456505,0.09789472112,69.53028027172476,12045979.272686264
2459526.85,13.25891764,0.1011556097,65.52890999787382,12009854.781653853
2459527.879,13.41843383,0.2665166919,56.57524821113713,10313197.22871052
2459529.808,13.07615054,0.1025042253,77.54249737214431,11994946.351328587
2459530.874,13.10732591,0.08063838084,75.34763685707415,12238963.727268092
2459531.87,13.07123864,0.085684401,77.89409645288009,12182214.42897788
2459532.836,12.96392714,0.09895353719,85.98627671402494,12034237.691923438
2459533.848,13.06744733,0.1529502253,78.16657229471905,11450380.268311208
2459534.799,13.0065739,0.09913175181,82.67428354350383,12032262.533425478
2459535.794,12.89092858,0.2642316076,91.96626903114978,10334925.657682994
2459536.822,12.98250932,0.09518833407,84.5271589286359,12076043.433659855
2459537.847,12.86369966,0.1088277966,94.30183333531231,11925288.141497606
2459538.86,12.99798172,0.1348326134,83.33113785650677,11643055.151074268
2459540.79,12.94532612,0.08799263749,87.47209979000237,12156342.985742927
2459542.771,12.83133188,0.08755085258,97.1554679730281,12161290.395288324
2459543.839,12.78809012,0.09756570827,101.10297893725001,12049630.143418498
2459544.889,12.77893646,0.07385943839,101.9589644754411,12315618.423785739
2459545.832,12.67123742,0.07199566843,112.5913514338108,12336777.515427731
2459546.83,12.65221868,0.06233023559,114.5809788370194,12447092.177963465
2459547.826,12.69107876,0.06380297592,110.55248166513316,12430219.840588335
2459548.873,12.61632391,0.08425961764,118.43237430418375,12198211.32573233
2459549.864,12.65126744,0.05728979107,114.68141001904594,12505011.157770524
2459550.841,12.5479936,0.05244612553,126.12540099060129,12560922.897250654
2459551.815,12.59149691,0.07609587827,121.17170978080738,12290276.36340001
