Name,RA,Dec,Classification,Instrument_Date
WISE-ToI-329,358.4865062,60.5127473,RVT/YSO,TSPEC_20210915
WISE-ToI-1001,1.5713216,61.5660457,C-star,TSPEC_20191023
WISE-ToI-1006,12.5660767,65.036258,C-star,TSPEC_20191023
WISE-ToI-1007,13.9202607,67.5754215,C-star,TSPEC_20191023
WISE-ToI-1008,14.6096235,54.1608933,C-star,TSPEC_20191023
WISE-ToI-1010,19.0570344,64.1422999,C-star,TSPEC_20191023
WISE-ToI-1011,19.3902612,63.3682556,C-star,TSPEC_20200203
WISE-ToI-1012,29.7912407,58.2376485,C-star,TSPEC_20191023
WISE-ToI-1013,35.2996922,63.6050917,C-star,TSPEC_20191023
WISE-ToI-1014,38.5219488,37.5646504,C-star,TSPEC_20191023
WISE-ToI-1015,39.0281014,63.419752,Symb?,TSPEC_20191023
WISE-ToI-1016,44.3115362,56.1213344,C-star,TSPEC_20191023
WISE-ToI-1017,53.378179,60.8070583,C-star,TSPEC_20191023
WISE-ToI-1019,55.2080396,49.6982411,C-star,TSPEC_20191023
WISE-ToI-1021,64.9676705,51.7409133,C-star,TSPEC_20191023
WISE-ToI-1022,65.2129796,58.8164897,Symb?,TSPEC_20191023
WISE-ToI-1027,79.6114865,46.513004,C-star,TSPEC_20191023
WISE-ToI-1028,82.4724483,46.4813627,C-star,TSPEC_20191023
WISE-ToI-1030,87.9435659,35.3719985,C-star,TSPEC_20191023
WISE-ToI-1031,89.2108955,48.5790699,C-star,TSPEC_20191023
WISE-ToI-1032,90.7673176,31.4475613,C-star,TSPEC_20191023
WISE-ToI-1035,95.5889266,16.573353,C-star,TSPEC_20200203
WISE-ToI-1036,95.6207964,9.2301796,C-star,TSPEC_20191023
WISE-ToI-1038,100.3913113,-8.1078568,C-star,TSPEC_20191023
WISE-ToI-1039,101.2754948,-8.4721368,C-star,TSPEC_20191023
WISE-ToI-1043,106.3907707,-1.2691261,C-star,TSPEC_20191023
WISE-ToI-1045,106.9566831,-15.8814692,C-star,TSPEC_20191023
WISE-ToI-1055,112.2277095,-22.7170095,C-star,TSPEC_20191023
WISE-ToI-1189,241.7549882,-14.5795937,C-star,TSPEC_20240517
WISE-ToI-1213,256.4700549,-16.5712545,RCB,IRTF_20200628
WISE-ToI-1215,257.6174714,-25.7983863,C-star,IRTF_20200628
WISE-ToI-1225,264.4044636,-7.4744911,RCB,TSPEC_20191022
WISE-ToI-1227,264.582553,-20.60893,RCB,TSPEC_20211028
WISE-ToI-1233,265.9526632,-23.8176,M-star,TSPEC_20210629
WISE-ToI-1245,269.3542924,-23.0740224,RCB,TSPEC_20210429
WISE-ToI-1248,270.0879709,-23.3674892,RCB,TSPEC_20240517
WISE-ToI-1257,273.5002452,-13.7151122,RCB-cand,TSPEC_20201003
WISE-ToI-1259,273.9600275,-20.9138057,M-star,TSPEC_20210429
