JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transformed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping method,ADS Reference,Digitizer,Credit
JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2457184.2694,13.7,,,Vis.,PEX,,131,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457188.2889,13.6,,,Vis.,PEX,,131,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457198.1097,13.7,,,Vis.,PEX,,131,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457200.2458,13.7,,,Vis.,PEX,,131,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457219.0660,<15.0,,,Vis.,PEX,,138,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457253.0750,<15.0,,,Vis.,PEX,U,,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457262.0736,<14.8,,,Vis.,PEX,B,138,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457269.0618,<15.3,,,Vis.,PEX,,151,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457288.0181,<14.5,,,Vis.,PEX,B,137,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457451.3583,13.6,,,Vis.,PEX,,128,137,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457454.3611,13.1,,,Vis.,PEX,,131,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457458.3382,13.1,,,Vis.,PEX,,127,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457460.3444,13.1,,,Vis.,PEX,,131,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457465.2979,13.4,,,Vis.,PEX,,127,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457468.3465,13.5,,,Vis.,PEX,,127,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457481.3014,13.1,,,Vis.,PEX,,131,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457485.3319,13.3,,,Vis.,PEX,U,127,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457499.3965,13.0,,,Vis.,PEX,,131,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457520.2792,13.0,,,Vis.,PEX,,127,138,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457539.1361,13.0,,,Vis.,PEX,,127,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457540.3444,13.0,,,Vis.,PEX,,131,,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
2457542.3424,13.0,,,Vis.,PEX,,120,131,11282TZ,,,,Z,,,,ASAS J175226-3411.5,AAVSO,STD,,,,
